datetime,strike,quantity,price,notional,bid,ask,side,volatility,hedge,exchange,condition
2021-04-01T13:28:26Z,200,1,3.38,338,3.1,3.35,Above,169.4,195.49,NASDAQ,Auto-Execution
2021-04-01T13:28:26Z,200,1,3.25,325,3.1,3.5,Mid,164.9,195.49,NASDAQ,Auto-Execution
2021-04-01T13:28:26Z,200,1,3.25,325,3.25,3.5,Bid,163.1,195.65,NASDAQ,Auto-Execution
2021-04-01T13:28:28Z,200,1,3.2,320,3.1,3.2,Ask,165.0,195.33,EMERALD,Auto-Execution
2021-04-01T13:28:29Z,200,1,3.3,330,3.25,3.35,Mid,168.8,195.3,C2,Auto-Execution
2021-04-01T13:28:29Z,200,3,3.25,975,3.1,3.35,Mid,167.1,195.3,NASDAQ,Auto-Execution
2021-04-01T13:28:30Z,200,1,3.35,335,3.1,3.35,Ask,168.9,195.45,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:30Z,200,1,3.3,330,3.15,3.35,Mid,168.8,195.3,NASDAQ,Auto-Execution
2021-04-01T13:28:31Z,200,1,3.4,340,3.1,3.5,Mid,168.8,195.6,ISE,Auto-Execution
2021-04-01T13:28:32Z,200,1,3.5,350,3.1,3.5,Ask,172.3,195.6,C2,Auto-Execution
2021-04-01T13:28:33Z,200,1,3.3,330,3.3,3.35,Bid,165.0,195.63,MIAX,Auto-Execution
2021-04-01T13:28:33Z,200,1,3.4,340,3.3,3.5,Mid,168.5,195.63,BATS,Auto-Execution
2021-04-01T13:28:34Z,200,1,3.4,340,3.3,3.4,Ask,168.5,195.63,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:35Z,200,10,3.5,3500,3.3,3.5,Ask,169.2,195.84,PEARL,Auto-Execution
2021-04-01T13:28:35Z,200,4,3.5,1400,3.3,3.5,Ask,169.2,195.84,PEARL,Auto-Execution
2021-04-01T13:28:36Z,200,1,3.35,335,3.35,3.4,Bid,164.2,195.84,NASDAQ-OMX-BX,Auto-Execution
2021-04-01T13:28:37Z,200,2,3.45,690,3.45,3.5,Bid,167.7,195.84,EMERALD,Auto-Execution
2021-04-01T13:28:39Z,200,10,3.43,3430,3.35,3.5,Mid,167.0,195.84,PHLX,Regular
2021-04-01T13:28:39Z,200,1,3.5,350,3.35,3.5,Ask,169.2,195.84,PEARL,Auto-Execution
2021-04-01T13:28:39Z,200,14,3.5,4900,3.35,3.5,Ask,169.3,195.84,PEARL,Auto-Execution
2021-04-01T13:28:39Z,200,6,3.5,2100,3.35,3.5,Ask,169.3,195.84,PEARL,Auto-Execution
2021-04-01T13:28:40Z,200,2,3.5,700,3.35,3.5,Ask,169.2,195.84,PEARL,Auto-Execution
2021-04-01T13:28:41Z,200,3,3.5,1050,3.35,3.5,Ask,168.2,195.91,BATS,Auto-Execution
2021-04-01T13:28:41Z,200,1,3.5,350,3.35,3.5,Ask,168.2,195.91,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:41Z,200,1,3.5,350,3.35,3.5,Ask,168.2,195.91,ARCA,Auto-Execution
2021-04-01T13:28:42Z,200,1,3.4,340,3.35,3.4,Ask,165.7,195.86,AMEX,Auto-Execution
