datetime,stock,exchange,quantity,price,notional,bid,ask,condition
2021-04-01 10:10:12,191.45,Dark Pool,2300,191.88,"$441,324",191.52,191.88,
2021-04-01 10:10:15,191.45,Dark Pool,1300,191.623,"$249,110",191.62,191.99,
2021-04-01 10:10:25,191.45,NYSE,1268,192,"$243,456",191.51,192,
2021-04-01 10:10:31,191.45,NASDAQ,1278,192.25,"$245,696",191.91,192.43,
2021-04-01 10:10:36,191.45,Dark Pool,1300,191.925,"$249,503",191.7,192.15,
2021-04-01 10:11:03,191.45,NYSE,1161,192.25,"$223,202",191.83,192.29,Sweep
2021-04-01 10:11:44,191.45,Dark Pool,2500,191.5,"$478,750",191.15,191.5,
2021-04-01 10:12:27,191.45,Dark Pool,1300,192.42,"$250,146",192.26,192.58,
2021-04-01 10:14:03,191.45,Dark Pool,1250,191.712,"$239,640",191.7,192.08,
2021-04-01 10:14:30,191.45,Dark Pool,1364,191.571,"$261,303",191.56,191.77,
2021-04-01 10:15:14,191.45,Dark Pool,1800,191.276,"$344,297",190.77,191.28,
2021-04-01 10:17:00,191.45,Dark Pool,1302,191.95,"$249,919",191.41,191.95,
2021-04-01 10:23:04,191.45,Dark Pool,1500,190.778,"$286,167",190.41,190.78,
2021-04-01 10:24:19,191.45,Dark Pool,1400,190.64,"$266,896",190.5,190.7,
2021-04-01 10:27:45,191.45,Dark Pool,2000,190.25,"$380,500",190.2,190.44,
2021-04-01 10:30:52,191.45,Dark Pool,1378,190.91,"$263,074",190.91,191.34,
2021-04-01 10:32:06,191.45,NYSE,1558,190.05,"$296,098",190.01,190.37,
2021-04-01 10:33:31,191.45,NYSE,1600,189.44,"$303,104",189.27,189.65,
2021-04-01 10:34:14,191.45,Dark Pool,1900,189.678,"$360,388",189.54,190,
2021-04-01 10:34:22,191.45,Dark Pool,1316,189.848,"$249,840",189.4,189.85,
2021-04-01 10:39:41,191.45,Dark Pool,1200,189.39,"$227,268",189.03,189.47,
2021-04-01 10:40:45,191.45,Dark Pool,1391,188.341,"$261,982",188.34,188.67,
2021-04-01 10:40:54,191.45,NYSE,1431,188,"$269,028",188,188.42,
2021-04-01 10:40:54,191.45,Dark Pool,1400,187.76,"$262,864",187.67,188.14,
2021-04-01 10:44:34,191.45,Dark Pool,1400,189.31,"$265,034",188.93,189.39,
2021-04-01 10:50:22,191.45,Dark Pool,2606,189,"$492,534",188.86,189.31,
2021-04-01 10:51:05,191.45,NYSE,1379,189,"$260,631",189,189.15,Sweep
2021-04-01 10:53:24,191.45,CHX,19000,189.01,"$3,591,190",187.51,187.93,Contingent
2021-04-01 10:56:51,191.45,Dark Pool,1200,188.608,"$226,330",188.37,188.61,
